city,1,2,3,4,total_restaurants
Willington,0.16666666666666666,0.8333333333333334,0.0,0.0,6
Wilton,0.18518518518518517,0.6296296296296297,0.18518518518518517,0.0,27
Winchester,0.0,1.0,0.0,0.0,2
Windham,0.3333333333333333,0.6666666666666666,0.0,0.0,3
Windsor,0.25,0.75,0.0,0.0,32
Windsor Locks,0.4838709677419355,0.5161290322580645,0.0,0.0,31
Winsted,0.4117647058823529,0.5882352941176471,0.0,0.0,17
Wolcott,0.18181818181818182,0.8181818181818182,0.0,0.0,11
Woodbridge,0.16666666666666666,0.8333333333333334,0.0,0.0,6
Woodbury,0.2,0.5,0.3,0.0,20
Woodstock,0.6,0.0,0.4,0.0,5
Yantic,0.3333333333333333,0.6666666666666666,0.0,0.0,6
