city,1,2,3,4,total_restaurants,median_household_income,mean_household_income,per_capita_income,median_bucket,mean_bucket
Union,0.0,1.0,0.0,0.0,2,95865,114809,43276,4,5
Vernon,0.125,0.875,0.0,0.0,24,59961,73887,33874,3,3
Voluntown,1.0,0.0,0.0,0.0,1,76012,83258,32006,4,4
Wallingford,0.2,0.7714285714285715,0.028571428571428567,0.0,35,74060,93035,38067,3,4
Washington,0.0,0.6,0.2,0.2,5,81354,161781,70264,4,5
Waterbury,0.2307692307692308,0.7076923076923077,0.061538461538461535,0.0,65,40467,52597,20685,2,3
Waterford,0.1,0.9,0.0,0.0,10,75956,95108,39135,4,4
Watertown,0.2413793103448276,0.7586206896551724,0.0,0.0,29,78722,98236,36883,4,4
West Hartford,0.028571428571428567,0.9142857142857144,0.057142857142857134,0.0,70,86569,123559,49600,4,5
West Haven,0.2,0.8,0.0,0.0,20,50846,67346,26143,3,3
Westbrook,0.25,0.6666666666666666,0.08333333333333333,0.0,12,78346,116373,48545,4,5
Weston,0.0,1.0,0.0,0.0,2,217171,283202,92794,6,6
Westport,0.03448275862068965,0.603448275862069,0.3620689655172414,0.0,58,162907,270222,97395,5,6
Wethersfield,0.2222222222222222,0.7777777777777778,0.0,0.0,27,77195,93540,38753,4,4
Willington,0.16666666666666666,0.8333333333333334,0.0,0.0,6,73526,88747,36630,3,4
Wilton,0.1851851851851852,0.6296296296296297,0.1851851851851852,0.0,27,172095,241155,78131,5,6
Winchester,0.0,1.0,0.0,0.0,2,52757,69404,31050,3,3
Windham,0.3333333333333333,0.6666666666666666,0.0,0.0,3,41398,51366,19783,2,3
Windsor,0.25,0.75,0.0,0.0,32,81982,95282,36322,4,4
Windsor Locks,0.4838709677419355,0.5161290322580645,0.0,0.0,31,68944,82986,34035,3,4
Wolcott,0.18181818181818185,0.8181818181818182,0.0,0.0,11,80323,95089,34468,4,4
Woodbridge,0.16666666666666666,0.8333333333333334,0.0,0.0,6,133412,166416,58594,5,5
Woodbury,0.2,0.5,0.3,0.0,20,80350,110669,46853,4,5
Woodstock,0.6,0.0,0.4,0.0,5,78594,89652,35502,4,4
