city,1,2,3,4,total_restaurants,y
Southport,0.1,0.5,0.2,0.2,10,4.0
Stafford Springs,0.42857142857142855,0.5714285714285714,0.0,0.0,7,3.0
Stamford,0.030303030303030307,0.8686868686868687,0.08080808080808081,0.020202020202020204,99,3.0
Sterling,0.5,0.5,0.0,0.0,2,3.0
Stonington,0.2,0.7,0.1,0.0,10,3.0
Storrs Mansfield,0.16666666666666666,0.8333333333333334,0.0,0.0,6,3.0
Stratford,0.1851851851851852,0.7777777777777778,0.037037037037037035,0.0,27,3.0
Suffield,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.0,7,3.0
Tariffville,0.0,1.0,0.0,0.0,2,3.0
Terryville,0.5714285714285714,0.42857142857142855,0.0,0.0,7,3.0
Thomaston,0.2307692307692308,0.7692307692307693,0.0,0.0,13,3.0
Thompson,0.25,0.75,0.0,0.0,4,3.0
Tolland,0.14285714285714285,0.7142857142857143,0.0,0.14285714285714285,7,3.0
Torrington,0.1,0.9,0.0,0.0,20,2.0
Trumbull,0.0,0.7777777777777778,0.2222222222222222,0.0,18,3.0
Uncasville,0.1724137931034483,0.6551724137931034,0.1724137931034483,0.0,29,3.0
Unionville,0.0,1.0,0.0,0.0,6,3.0
Vernon Rockville,0.2857142857142857,0.7142857142857143,0.0,0.0,7,3.0
Voluntown,1.0,0.0,0.0,0.0,1,3.0
Wallingford,0.2,0.7714285714285715,0.028571428571428567,0.0,35,3.0
Washington,0.0,0.6,0.2,0.2,5,3.0
Washington Depot,0.0,0.6666666666666666,0.0,0.3333333333333333,3,3.0
Waterbury,0.2307692307692308,0.7076923076923077,0.061538461538461535,0.0,65,2.0
Waterford,0.1,0.9,0.0,0.0,10,3.0
Watertown,0.2413793103448276,0.7586206896551724,0.0,0.0,29,3.0
Weatogue,0.0,1.0,0.0,0.0,1,3.0
West Cornwall,0.0,0.0,0.0,1.0,1,3.0
West Hartford,0.028571428571428567,0.9142857142857144,0.057142857142857134,0.0,70,3.0
West Haven,0.2,0.8,0.0,0.0,20,2.0
West Simsbury,0.0,1.0,0.0,0.0,1,4.0
Westbrook,0.25,0.6666666666666666,0.08333333333333333,0.0,12,3.0
Weston,0.0,1.0,0.0,0.0,2,4.0
Westport,0.03448275862068965,0.603448275862069,0.3620689655172414,0.0,58,4.0
Wethersfield,0.2222222222222222,0.7777777777777778,0.0,0.0,27,3.0
Willimantic,0.5,0.5,0.0,0.0,18,2.0
Willington,0.16666666666666666,0.8333333333333334,0.0,0.0,6,3.0
Wilton,0.1851851851851852,0.6296296296296297,0.1851851851851852,0.0,27,4.0
Windham,0.3333333333333333,0.6666666666666666,0.0,0.0,3,3.0
Windsor,0.25,0.75,0.0,0.0,32,3.0
Windsor Locks,0.4838709677419355,0.5161290322580645,0.0,0.0,31,3.0
Winsted,0.4117647058823529,0.5882352941176471,0.0,0.0,17,2.0
Wolcott,0.18181818181818185,0.8181818181818182,0.0,0.0,11,3.0
Woodbridge,0.16666666666666666,0.8333333333333334,0.0,0.0,6,4.0
Woodbury,0.2,0.5,0.3,0.0,20,3.0
Woodstock,0.6,0.0,0.4,0.0,5,3.0
