"ZIP
code [1]",Size of adjusted gross income,Number of returns,Adjusted gross income (AGI) [5],Total income Amount
06498,"$75,000 under $100,000",360,31450,31866
06498,"$100,000 under $200,000",660,91429,92994
06498,"$200,000 or more",270,119257,122452
,,,,
06510,,"1,580","152,139","154,490"
06510,"$1 under $25,000",340,4129,4325
06510,"$25,000 under $50,000",370,13729,13994
06510,"$50,000 under $75,000",310,18787,19010
06510,"$75,000 under $100,000",150,13130,13183
06510,"$100,000 under $200,000",260,36268,36694
06510,"$200,000 or more",150,66096,67284
,,,,
06511,,"20,820","1,243,151","1,263,872"
06511,"$1 under $25,000",8830,112480,114849
06511,"$25,000 under $50,000",5840,211694,214195
06511,"$50,000 under $75,000",2750,167380,169470
06511,"$75,000 under $100,000",1190,102247,103451
06511,"$100,000 under $200,000",1410,190047,192359
06511,"$200,000 or more",800,459303,469548
,,,,
06512,,"14,960","922,930","934,477"
06512,"$1 under $25,000",4720,58612,59668
06512,"$25,000 under $50,000",3790,139793,141702
06512,"$50,000 under $75,000",2590,159025,160909
06512,"$75,000 under $100,000",1630,140769,142097
06512,"$100,000 under $200,000",1950,256792,259667
06512,"$200,000 or more",280,167939,170434
,,,,
06513,,"16,420","633,244","638,801"
06513,"$1 under $25,000",7400,96985,98237
06513,"$25,000 under $50,000",4910,176059,177239
06513,"$50,000 under $75,000",2140,130181,131180
06513,"$75,000 under $100,000",950,81367,81945
06513,"$100,000 under $200,000",920,118781,119907
06513,"$200,000 or more",100,29871,30293
,,,,
06514,,"13,050","752,114","761,218"
06514,"$1 under $25,000",4170,51906,52933
06514,"$25,000 under $50,000",3210,118553,120265
06514,"$50,000 under $75,000",2320,142713,144503
06514,"$75,000 under $100,000",1350,116844,117853
06514,"$100,000 under $200,000",1710,229699,231591
06514,"$200,000 or more",290,92399,94073
,,,,
06515,,"7,210","440,435","447,999"
06515,"$1 under $25,000",2740,34207,34768
06515,"$25,000 under $50,000",1730,63306,64078
06515,"$50,000 under $75,000",1020,62948,63629
06515,"$75,000 under $100,000",570,48960,49389
06515,"$100,000 under $200,000",830,114309,116636
06515,"$200,000 or more",320,116705,119499
,,,,
06516,,"26,060","1,312,896","1,326,340"
06516,"$1 under $25,000",9390,119295,121219
06516,"$25,000 under $50,000",7050,257647,260241
06516,"$50,000 under $75,000",4150,253988,256339
06516,"$75,000 under $100,000",2290,197962,199702
06516,"$100,000 under $200,000",2840,376960,380331
06516,"$200,000 or more",340,107044,108508
,,,,
06517,,"7,490","656,873","667,175"
06517,"$1 under $25,000",2030,24401,24852
06517,"$25,000 under $50,000",1480,54784,55631
06517,"$50,000 under $75,000",1130,70243,71179
06517,"$75,000 under $100,000",820,71054,71804
06517,"$100,000 under $200,000",1380,193206,196179
06517,"$200,000 or more",650,243185,247530
,,,,
06518,,"7,410","619,178","629,246"
06518,"$1 under $25,000",1800,20506,21086
06518,"$25,000 under $50,000",1290,48093,49274
06518,"$50,000 under $75,000",1210,75278,76330
06518,"$75,000 under $100,000",910,79044,80248
06518,"$100,000 under $200,000",1700,233866,236997
06518,"$200,000 or more",500,162391,165311
,,,,
06519,,"5,990","183,950","185,534"
06519,"$1 under $25,000",3240,42269,42717
06519,"$25,000 under $50,000",1800,63259,63575
06519,"$50,000 under $75,000",610,36746,36984
06519,"$75,000 under $100,000",180,15194,15297
06519,"$100,000 under $200,000",130,16712,17191
06519,"$200,000 or more",30,9770,9770
,,,,
06524,,"2,790","314,224","321,375"
06524,"$1 under $25,000",720,7252,7542
06524,"$25,000 under $50,000",410,15736,16296
06524,"$50,000 under $75,000",330,20648,21320
06524,"$75,000 under $100,000",280,23774,24277
06524,"$100,000 under $200,000",690,98787,100696
06524,"$200,000 or more",360,148027,151244
,,,,
06525,,"4,460","826,880","847,290"
06525,"$1 under $25,000",1070,10665,11065
06525,"$25,000 under $50,000",530,19823,20404
06525,"$50,000 under $75,000",420,26061,26755
06525,"$75,000 under $100,000",350,30016,30983
06525,"$100,000 under $200,000",980,142163,145519
06525,"$200,000 or more",1110,598152,612564
,,,,
06604,,"11,770","432,408","437,509"
06604,"$1 under $25,000",5850,73791,75086
06604,"$25,000 under $50,000",3300,117067,118186
06604,"$50,000 under $75,000",1350,81665,82492
06604,"$75,000 under $100,000",570,49032,49448
06604,"$100,000 under $200,000",600,79020,79804
06604,"$200,000 or more",100,31833,32493
,,,,
06605,,"10,260","429,936","437,602"
06605,"$1 under $25,000",4840,62448,63502
06605,"$25,000 under $50,000",3090,110443,111716
06605,"$50,000 under $75,000",1140,69502,70381
06605,"$75,000 under $100,000",500,42584,42981
06605,"$100,000 under $200,000",520,70452,72295
06605,"$200,000 or more",170,74507,76727
,,,,
06606,,"22,050","914,446","924,269"
06606,"$1 under $25,000",9080,113679,115832
06606,"$25,000 under $50,000",6480,234631,237231
06606,"$50,000 under $75,000",3310,202413,204086
06606,"$75,000 under $100,000",1640,140892,141938
06606,"$100,000 under $200,000",1390,177349,178641
06606,"$200,000 or more",150,45482,46541
,,,,
06607,,"3,390","99,317","99,963"
06607,"$1 under $25,000",1800,23558,23818
06607,"$25,000 under $50,000",1060,37636,37841
06607,"$50,000 under $75,000",350,20918,21021
06607,"$75,000 under $100,000",110,8964,9042
06607,"$100,000 under $200,000",70,8241,8241
06607,"$200,000 or more",**,**,**
,,,,
06608,,"5,720","148,600","149,506"
06608,"$1 under $25,000",3380,44976,45400
06608,"$25,000 under $50,000",1710,59456,59719
06608,"$50,000 under $75,000",430,25247,25367
06608,"$75,000 under $100,000",130,10682,10781
06608,"$100,000 under $200,000",70,8239,8239
06608,"$200,000 or more",**,**,**
,,,,
06610,,"10,980","397,462","400,412"
06610,"$1 under $25,000",5000,63575,64447
06610,"$25,000 under $50,000",3490,125048,125978
06610,"$50,000 under $75,000",1440,86798,87352
06610,"$75,000 under $100,000",540,46472,46700
06610,"$100,000 under $200,000",480,60359,60725
06610,"$200,000 or more",30,15210,15210
,,,,
06611,,"17,260","1,951,456","1,989,867"
06611,"$1 under $25,000",4320,44430,46105
06611,"$25,000 under $50,000",2300,85044,87375
06611,"$50,000 under $75,000",1930,120619,123261
06611,"$75,000 under $100,000",1750,152781,155448
06611,"$100,000 under $200,000",4530,647944,658812
06611,"$200,000 or more",2430,900638,918866
,,,,
06612,,"3,570","678,123","697,346"
06612,"$1 under $25,000",840,8075,8436
06612,"$25,000 under $50,000",390,14431,15270
06612,"$50,000 under $75,000",320,19592,20521
06612,"$75,000 under $100,000",280,24761,25962
06612,"$100,000 under $200,000",760,109488,112691
06612,"$200,000 or more",980,501776,514466
,,,,
06614,,"17,460","1,248,701","1,267,734"
06614,"$1 under $25,000",4870,57286,58703
06614,"$25,000 under $50,000",3500,129004,131252
06614,"$50,000 under $75,000",2800,173523,175776
06614,"$75,000 under $100,000",2100,182024,184078
06614,"$100,000 under $200,000",3440,469290,474312
06614,"$200,000 or more",750,237574,243613
,,,,
06615,,"9,720","549,235","557,585"
06615,"$1 under $25,000",3400,42487,43205
06615,"$25,000 under $50,000",2440,89218,90646
06615,"$50,000 under $75,000",1550,95068,96163
06615,"$75,000 under $100,000",910,78996,79780
06615,"$100,000 under $200,000",1160,155876,157989
06615,"$200,000 or more",260,87590,89802
,,,,
06702,,980,"20,013","20,170"
06702,"$1 under $25,000",680,7885,7977
06702,"$25,000 under $50,000",230,7715,7780
06702,"$50,000 under $75,000",40,2139,2139
06702,"$75,000 under $100,000",30,2274,2274
06702,"$100,000 under $200,000",**,**,**
06702,"$200,000 or more",**,**,**
,,,,
06704,,"11,390","389,257","392,203"
06704,"$1 under $25,000",5720,73289,74192
06704,"$25,000 under $50,000",3220,113831,114590
06704,"$50,000 under $75,000",1350,82263,82829
06704,"$75,000 under $100,000",600,51483,51812
06704,"$100,000 under $200,000",470,59255,59644
06704,"$200,000 or more",30,9136,9136
,,,,
06705,,"12,620","491,479","495,337"
06705,"$1 under $25,000",5350,69339,70169
06705,"$25,000 under $50,000",3880,139320,140261
06705,"$50,000 under $75,000",1810,110408,111356
06705,"$75,000 under $100,000",850,73593,74069
06705,"$100,000 under $200,000",690,88581,89244
06705,"$200,000 or more",40,10238,10238
,,,,
06706,,"6,360","239,724","241,699"
06706,"$1 under $25,000",3000,38387,38875
06706,"$25,000 under $50,000",1750,62859,63252
06706,"$50,000 under $75,000",840,51258,51811
06706,"$75,000 under $100,000",390,33089,33311
06706,"$100,000 under $200,000",350,43967,44286
06706,"$200,000 or more",30,10164,10164
,,,,
06708,,"14,020","657,206","664,865"
06708,"$1 under $25,000",5400,69101,70121
06708,"$25,000 under $50,000",3880,140302,141850
06708,"$50,000 under $75,000",2080,127562,128728
06708,"$75,000 under $100,000",1200,103618,104404
06708,"$100,000 under $200,000",1290,169361,170790
06708,"$200,000 or more",170,47262,48972
,,,,
06710,,"4,130","147,982","149,646"
06710,"$1 under $25,000",2270,28927,29259
06710,"$25,000 under $50,000",1110,39028,39304
06710,"$50,000 under $75,000",350,21311,21471
06710,"$75,000 under $100,000",170,14798,14901
06710,"$100,000 under $200,000",190,24729,25166
06710,"$200,000 or more",40,19189,19545
,,,,
06712,,"4,870","395,941","402,200"
06712,"$1 under $25,000",1260,14294,14622
06712,"$25,000 under $50,000",840,31342,32058
06712,"$50,000 under $75,000",690,42666,43429
06712,"$75,000 under $100,000",580,50483,51176
06712,"$100,000 under $200,000",1200,165649,167898
06712,"$200,000 or more",300,91507,93017
,,,,
06716,,"8,340","603,631","612,020"
06716,"$1 under $25,000",2340,27085,27719
06716,"$25,000 under $50,000",1620,59857,60838
06716,"$50,000 under $75,000",1300,80213,81429
06716,"$75,000 under $100,000",990,85247,86208
06716,"$100,000 under $200,000",1720,232243,235065
06716,"$200,000 or more",370,118986,120761
,,,,
06750,,690,"44,537","45,936"
06750,"$1 under $25,000",220,2669,2786
06750,"$25,000 under $50,000",150,5678,5844
06750,"$50,000 under $75,000",100,6191,6362
06750,"$75,000 under $100,000",70,5759,5832
06750,"$100,000 under $200,000",120,15875,16747
06750,"$200,000 or more",30,8365,8365
,,,,
06751,,"1,800","150,374","154,519"
06751,"$1 under $25,000",480,5596,5811
06751,"$25,000 under $50,000",350,13032,13511
06751,"$50,000 under $75,000",270,16604,17068
06751,"$75,000 under $100,000",210,17837,18308
06751,"$100,000 under $200,000",380,51370,52472
06751,"$200,000 or more",110,45935,47349
,,,,
06752,,880,"151,347","154,387"
06752,"$1 under $25,000",210,2313,2413
06752,"$25,000 under $50,000",130,4747,4975
06752,"$50,000 under $75,000",110,6970,7138
06752,"$75,000 under $100,000",100,8207,8382
06752,"$100,000 under $200,000",180,24553,25168
06752,"$200,000 or more",150,104557,106311
,,,,
06754,,770,"67,780","69,852"
06754,"$1 under $25,000",250,2702,2895
06754,"$25,000 under $50,000",130,4718,4902
06754,"$50,000 under $75,000",120,7101,7432
06754,"$75,000 under $100,000",90,7475,7813
06754,"$100,000 under $200,000",130,17921,18470
06754,"$200,000 or more",50,27863,28340
,,,,
06755,,590,"42,553","43,209"
06755,"$1 under $25,000",150,1725,1791
06755,"$25,000 under $50,000",120,4203,4285
06755,"$50,000 under $75,000",100,5982,6060
06755,"$75,000 under $100,000",70,5765,5873
06755,"$100,000 under $200,000",120,15429,15751
06755,"$200,000 or more",30,9449,9449
,,,,
06756,,"1,470","168,190","173,576"
06756,"$1 under $25,000",360,3893,4012
06756,"$25,000 under $50,000",260,9821,10123
06756,"$50,000 under $75,000",200,11980,12322
06756,"$75,000 under $100,000",170,14641,14985
06756,"$100,000 under $200,000",350,47167,48525
06756,"$200,000 or more",130,80688,83609
,,,,
06757,,"1,100","92,236","94,987"
06757,"$1 under $25,000",300,3486,3632
06757,"$25,000 under $50,000",210,7885,8215
06757,"$50,000 under $75,000",180,11102,11422
06757,"$75,000 under $100,000",130,10950,11219
06757,"$100,000 under $200,000",200,26042,26767
06757,"$200,000 or more",80,32771,33732
,,,,
06759,,"2,860","335,934","345,123"
06759,"$1 under $25,000",750,8061,8436
06759,"$25,000 under $50,000",470,17422,18031
06759,"$50,000 under $75,000",410,25094,25957
06759,"$75,000 under $100,000",300,26206,26843
06759,"$100,000 under $200,000",610,85543,87965
06759,"$200,000 or more",320,173608,177891
,,,,
06762,,"3,730","509,858","521,084"
06762,"$1 under $25,000",870,8335,8549
06762,"$25,000 under $50,000",510,18618,19142
06762,"$50,000 under $75,000",440,27312,27979
06762,"$75,000 under $100,000",380,33335,33967
06762,"$100,000 under $200,000",980,139296,141515
06762,"$200,000 or more",550,282962,289932
,,,,
06763,,"1,030","100,044","102,256"
06763,"$1 under $25,000",290,3331,3490
06763,"$25,000 under $50,000",190,6987,7181
06763,"$50,000 under $75,000",150,9033,9244
06763,"$75,000 under $100,000",110,9836,10096
06763,"$100,000 under $200,000",220,28847,29277
06763,"$200,000 or more",70,42010,42968
,,,,
06770,,"15,370","856,493","866,187"
06770,"$1 under $25,000",4940,61465,62486
06770,"$25,000 under $50,000",3860,140977,142944
06770,"$50,000 under $75,000",2480,153127,154832
06770,"$75,000 under $100,000",1680,145381,146626
06770,"$100,000 under $200,000",2160,285403,287683
06770,"$200,000 or more",250,70140,71616
,,,,
06776,,"13,430","1,035,916","1,055,354"
06776,"$1 under $25,000",3930,45787,47028
06776,"$25,000 under $50,000",2820,103477,106016
06776,"$50,000 under $75,000",1890,116853,119001
06776,"$75,000 under $100,000",1450,126386,128671
06776,"$100,000 under $200,000",2570,349850,355674
06776,"$200,000 or more",770,293563,298964
,,,,
06777,,850,"100,371","102,302"
06777,"$1 under $25,000",240,2636,2768
06777,"$25,000 under $50,000",180,6699,6955
06777,"$50,000 under $75,000",120,7619,7729
06777,"$75,000 under $100,000",90,7858,8015
06777,"$100,000 under $200,000",150,19656,20093
06777,"$200,000 or more",70,55903,56742
,,,,
06778,,650,"46,334","47,050"
06778,"$1 under $25,000",170,1864,1892
06778,"$25,000 under $50,000",130,4637,4765
06778,"$50,000 under $75,000",110,6535,6683
06778,"$75,000 under $100,000",80,7324,7422
06778,"$100,000 under $200,000",130,17982,18296
06778,"$200,000 or more",30,7992,7992
,,,,
06779,,"4,050","231,953","234,331"
06779,"$1 under $25,000",1230,15135,15398
06779,"$25,000 under $50,000",1010,37248,37749
06779,"$50,000 under $75,000",680,41697,42169
06779,"$75,000 under $100,000",470,40693,41037
06779,"$100,000 under $200,000",610,78982,79780
06779,"$200,000 or more",50,18198,18198
,,,,
06782,,"1,200","83,280","84,576"
06782,"$1 under $25,000",300,3643,3688
06782,"$25,000 under $50,000",260,9549,9774
06782,"$50,000 under $75,000",190,11829,12037
06782,"$75,000 under $100,000",160,13545,13684
06782,"$100,000 under $200,000",250,32534,33213
06782,"$200,000 or more",40,12180,12180
,,,,
06783,,"1,080","175,443","180,491"
06783,"$1 under $25,000",250,2617,2887
06783,"$25,000 under $50,000",170,6117,6485
06783,"$50,000 under $75,000",120,7277,7731
06783,"$75,000 under $100,000",130,11185,11795
06783,"$100,000 under $200,000",240,33840,34617
06783,"$200,000 or more",170,114407,116976
,,,,
06784,,"1,760","220,530","225,683"
06784,"$1 under $25,000",440,4737,4952
06784,"$25,000 under $50,000",240,8878,9138
06784,"$50,000 under $75,000",210,13217,13585
06784,"$75,000 under $100,000",190,16219,16589
06784,"$100,000 under $200,000",430,60743,61815
06784,"$200,000 or more",250,116736,119604
,,,,
06785,,330,"43,809","44,887"
06785,"$1 under $25,000",90,1170,1170
06785,"$25,000 under $50,000",60,2011,2110
06785,"$50,000 under $75,000",50,2971,3080
06785,"$75,000 under $100,000",30,2702,2702
06785,"$100,000 under $200,000",50,7330,7595
06785,"$200,000 or more",50,27625,28230
,,,,
06786,,"4,880","287,951","290,906"
06786,"$1 under $25,000",1380,17067,17318
06786,"$25,000 under $50,000",1190,43457,43995
06786,"$50,000 under $75,000",920,56725,57245
06786,"$75,000 under $100,000",530,45990,46337
06786,"$100,000 under $200,000",790,105390,106689
06786,"$200,000 or more",70,19322,19322
,,,,
06787,,"3,960","258,183","261,633"
06787,"$1 under $25,000",1120,13385,13664
06787,"$25,000 under $50,000",880,32524,33010
06787,"$50,000 under $75,000",660,41113,41714
06787,"$75,000 under $100,000",480,41480,41950
06787,"$100,000 under $200,000",710,96251,97358
06787,"$200,000 or more",110,33430,33937
,,,,
06790,,"17,420","927,381","940,845"
06790,"$1 under $25,000",5960,74557,75828
06790,"$25,000 under $50,000",4660,169370,171751
06790,"$50,000 under $75,000",2750,169082,171118
06790,"$75,000 under $100,000",1730,149518,151198
06790,"$100,000 under $200,000",2040,267272,270574
06790,"$200,000 or more",280,97582,100376
,,,,
06791,,"2,870","249,718","255,728"
06791,"$1 under $25,000",720,8061,8375
06791,"$25,000 under $50,000",490,18260,18771
06791,"$50,000 under $75,000",410,25347,25945
06791,"$75,000 under $100,000",350,30106,30681
06791,"$100,000 under $200,000",710,97804,99478
06791,"$200,000 or more",190,70140,72478
,,,,
06793,,510,"100,171","103,235"
06793,"$1 under $25,000",120,1344,1420
06793,"$25,000 under $50,000",90,3388,3581
06793,"$50,000 under $75,000",50,3277,3438
06793,"$75,000 under $100,000",60,4938,5064
06793,"$100,000 under $200,000",110,14674,15185
06793,"$200,000 or more",80,72550,74547
,,,,
06794,,580,"72,803","75,358"
06794,"$1 under $25,000",160,1760,1817
06794,"$25,000 under $50,000",110,4215,4438
06794,"$50,000 under $75,000",70,4521,4762
06794,"$75,000 under $100,000",60,5224,5224
06794,"$100,000 under $200,000",110,15175,15842
06794,"$200,000 or more",70,41908,43275
,,,,
06795,,"7,240","602,695","613,893"
06795,"$1 under $25,000",1970,21764,22355
06795,"$25,000 under $50,000",1270,47204,48173
06795,"$50,000 under $75,000",1050,64784,65821
06795,"$75,000 under $100,000",830,71850,72924
06795,"$100,000 under $200,000",1650,228527,231787
06795,"$200,000 or more",470,168566,172833
,,,,
06796,,440,"44,792","46,044"
06796,"$1 under $25,000",140,1416,1495
06796,"$25,000 under $50,000",70,2537,2672
06796,"$50,000 under $75,000",70,4485,4822
06796,"$75,000 under $100,000",40,3545,3545
06796,"$100,000 under $200,000",80,11760,12461
06796,"$200,000 or more",40,21049,21049
,,,,
06798,,"5,110","515,699","528,890"
06798,"$1 under $25,000",1330,14119,14636
06798,"$25,000 under $50,000",900,33345,34500
06798,"$50,000 under $75,000",730,44724,45822
06798,"$75,000 under $100,000",550,47853,48790
06798,"$100,000 under $200,000",1060,146598,149743
06798,"$200,000 or more",540,229060,235399
,,,,
06801,,"9,780","800,792","815,184"
06801,"$1 under $25,000",2710,31423,32270
06801,"$25,000 under $50,000",1840,67463,69199
06801,"$50,000 under $75,000",1300,80679,82261
06801,"$75,000 under $100,000",1040,90195,91879
06801,"$100,000 under $200,000",2140,298322,302867
06801,"$200,000 or more",750,232710,236708
,,,,
06804,,"8,910","931,472","949,045"
06804,"$1 under $25,000",2260,24174,25035
06804,"$25,000 under $50,000",1480,54912,56327
06804,"$50,000 under $75,000",1140,70325,72210
06804,"$75,000 under $100,000",950,82732,84685
06804,"$100,000 under $200,000",2050,289408,294181
06804,"$200,000 or more",1030,409921,416607
,,,,
06807,,"3,430","859,440","876,941"
06807,"$1 under $25,000",770,7639,8025
06807,"$25,000 under $50,000",420,15331,16092
06807,"$50,000 under $75,000",340,21184,21868
06807,"$75,000 under $100,000",290,25329,25898
06807,"$100,000 under $200,000",600,85690,87591
06807,"$200,000 or more",1010,704267,717467
,,,,
06810,,"25,330","1,298,862","1,319,113"
06810,"$1 under $25,000",10040,122884,125405
06810,"$25,000 under $50,000",6700,240783,244049
06810,"$50,000 under $75,000",3470,211943,214951
06810,"$75,000 under $100,000",1930,166606,168204
06810,"$100,000 under $200,000",2470,333718,338186
06810,"$200,000 or more",720,222928,228318
,,,,
06811,,"15,060","1,248,182","1,269,169"
06811,"$1 under $25,000",4240,49616,50848
06811,"$25,000 under $50,000",3000,109756,111977
06811,"$50,000 under $75,000",2170,134318,136840
06811,"$75,000 under $100,000",1670,144787,146490
06811,"$100,000 under $200,000",2930,401540,407456
06811,"$200,000 or more",1050,408165,415558
,,,,
06812,,"6,790","733,513","746,091"
06812,"$1 under $25,000",1800,19182,19642
06812,"$25,000 under $50,000",950,34997,35732
06812,"$50,000 under $75,000",780,48519,49603
06812,"$75,000 under $100,000",710,61478,62646
06812,"$100,000 under $200,000",1690,240091,243535
06812,"$200,000 or more",860,329246,334933
,,,,
06820,,"9,460","5,853,555","5,916,764"
06820,"$1 under $25,000",2200,19228,19780
06820,"$25,000 under $50,000",820,30086,30920
06820,"$50,000 under $75,000",600,37311,38311
06820,"$75,000 under $100,000",460,39420,40718
06820,"$100,000 under $200,000",1270,187344,193007
06820,"$200,000 or more",4110,5540166,5594028
,,,,
06824,,"14,970","3,261,909","3,335,851"
06824,"$1 under $25,000",3540,33380,34675
06824,"$25,000 under $50,000",1690,62525,65011
06824,"$50,000 under $75,000",1450,89139,92132
06824,"$75,000 under $100,000",1160,101339,104592
06824,"$100,000 under $200,000",2920,424996,436344
06824,"$200,000 or more",4210,2550530,2603097
,,,,
06825,,"9,710","1,079,674","1,103,754"
06825,"$1 under $25,000",2600,27177,28156
06825,"$25,000 under $50,000",1450,53575,55209
06825,"$50,000 under $75,000",1240,76590,78354
06825,"$75,000 under $100,000",900,78023,80022
06825,"$100,000 under $200,000",2050,293668,299318
06825,"$200,000 or more",1470,550641,562695
,,,,
06830,,"12,250","9,609,195","9,697,594"
06830,"$1 under $25,000",3340,36191,37540
06830,"$25,000 under $50,000",1840,67649,69385
06830,"$50,000 under $75,000",1280,79644,81472
06830,"$75,000 under $100,000",840,72717,74315
06830,"$100,000 under $200,000",1690,240897,247092
06830,"$200,000 or more",3260,9112097,9187790
,,,,
06831,,"7,340","4,941,410","4,998,065"
06831,"$1 under $25,000",1650,16534,17141
06831,"$25,000 under $50,000",910,33538,34524
06831,"$50,000 under $75,000",740,45748,46786
06831,"$75,000 under $100,000",540,46509,47551
06831,"$100,000 under $200,000",1230,177043,181104
06831,"$200,000 or more",2270,4622038,4670959
,,,,
06840,,"9,030","5,112,375","5,189,893"
06840,"$1 under $25,000",2100,18467,19145
06840,"$25,000 under $50,000",810,30257,31389
06840,"$50,000 under $75,000",590,36687,38002
06840,"$75,000 under $100,000",500,43800,44899
06840,"$100,000 under $200,000",1300,190730,197203
06840,"$200,000 or more",3730,4792434,4859255
,,,,
06850,,"10,750","926,849","945,910"
06850,"$1 under $25,000",2990,35727,36773
06850,"$25,000 under $50,000",2200,80895,82771
06850,"$50,000 under $75,000",1630,100797,102606
06850,"$75,000 under $100,000",1060,92165,94016
06850,"$100,000 under $200,000",1960,270466,275185
06850,"$200,000 or more",910,346799,354559
,,,,
06851,,"14,510","1,311,871","1,341,137"
06851,"$1 under $25,000",3900,44468,46011
06851,"$25,000 under $50,000",2750,102180,104434
06851,"$50,000 under $75,000",2080,128053,130874
06851,"$75,000 under $100,000",1580,137755,140287
06851,"$100,000 under $200,000",2850,398660,405370
06851,"$200,000 or more",1350,500755,514161
,,,,
06853,,"1,720","778,962","794,626"
06853,"$1 under $25,000",340,3159,3335
06853,"$25,000 under $50,000",140,5098,5326
06853,"$50,000 under $75,000",130,8155,8548
06853,"$75,000 under $100,000",120,10649,11049
06853,"$100,000 under $200,000",280,40191,41500
06853,"$200,000 or more",710,711710,724868
,,,,
06854,,"14,410","967,560","984,091"
06854,"$1 under $25,000",5460,66472,68193
06854,"$25,000 under $50,000",3630,131964,134235
06854,"$50,000 under $75,000",1950,119806,121832
06854,"$75,000 under $100,000",1110,95880,97032
06854,"$100,000 under $200,000",1570,214992,217833
06854,"$200,000 or more",690,338446,344966
,,,,
06855,,"4,270","452,784","462,908"
06855,"$1 under $25,000",1360,16197,16771
06855,"$25,000 under $50,000",880,32558,33432
06855,"$50,000 under $75,000",610,37176,37929
06855,"$75,000 under $100,000",380,32820,33516
06855,"$100,000 under $200,000",630,88108,89582
06855,"$200,000 or more",410,245925,251678
,,,,
06870,,"3,270","1,738,272","1,759,805"
06870,"$1 under $25,000",660,5834,6052
06870,"$25,000 under $50,000",270,10201,10610
06870,"$50,000 under $75,000",240,15030,15434
06870,"$75,000 under $100,000",200,17223,17981
06870,"$100,000 under $200,000",530,78498,81415
06870,"$200,000 or more",1370,1611486,1628313
,,,,
06877,,"11,520","2,862,573","2,915,540"
06877,"$1 under $25,000",2640,23672,24527
06877,"$25,000 under $50,000",1120,40750,42244
06877,"$50,000 under $75,000",1020,63619,65898
06877,"$75,000 under $100,000",850,74217,76035
06877,"$100,000 under $200,000",2400,348693,357646
06877,"$200,000 or more",3490,2311622,2349190
,,,,
06878,,"3,640","2,481,124","2,513,349"
06878,"$1 under $25,000",820,7528,7891
06878,"$25,000 under $50,000",380,13817,14230
06878,"$50,000 under $75,000",290,17776,18322
06878,"$75,000 under $100,000",170,14839,15373
06878,"$100,000 under $200,000",500,72904,74863
06878,"$200,000 or more",1480,2354260,2382670
,,,,
06880,,"12,690","5,326,053","5,437,941"
06880,"$1 under $25,000",3020,26581,27881
06880,"$25,000 under $50,000",1120,41125,43026
06880,"$50,000 under $75,000",940,58612,61240
06880,"$75,000 under $100,000",770,67511,70236
06880,"$100,000 under $200,000",1900,278945,289050
06880,"$200,000 or more",4940,4853279,4946508
,,,,
06883,,"4,490","1,466,800","1,500,365"
06883,"$1 under $25,000",1020,8712,9156
06883,"$25,000 under $50,000",390,14387,15325
06883,"$50,000 under $75,000",290,18014,18786
06883,"$75,000 under $100,000",240,21193,22457
06883,"$100,000 under $200,000",810,118904,123790
06883,"$200,000 or more",1740,1285590,1310851
,,,,
06890,,"2,180","803,335","817,411"
06890,"$1 under $25,000",490,4502,4739
06890,"$25,000 under $50,000",230,8528,8887
06890,"$50,000 under $75,000",150,9399,9608
06890,"$75,000 under $100,000",150,12648,13232
06890,"$100,000 under $200,000",370,53930,55666
06890,"$200,000 or more",790,714328,725279
,,,,
06896,,"4,210","787,760","807,054"
06896,"$1 under $25,000",950,8857,9314
06896,"$25,000 under $50,000",430,15750,16368
06896,"$50,000 under $75,000",400,25186,26338
06896,"$75,000 under $100,000",380,32931,34154
06896,"$100,000 under $200,000",960,138781,142393
06896,"$200,000 or more",1090,566255,578487
,,,,
06897,,"8,400","2,451,794","2,499,445"
06897,"$1 under $25,000",1970,16792,17459
06897,"$25,000 under $50,000",730,26457,27690
06897,"$50,000 under $75,000",590,36496,37836
06897,"$75,000 under $100,000",510,44217,45551
06897,"$100,000 under $200,000",1510,220079,228440
06897,"$200,000 or more",3090,2107753,2142469
,,,,
06901,,"4,860","564,297","572,707"
06901,"$1 under $25,000",1090,13903,14508
06901,"$25,000 under $50,000",880,33040,33952
06901,"$50,000 under $75,000",840,52148,52805
06901,"$75,000 under $100,000",620,53313,53674
06901,"$100,000 under $200,000",900,126712,128174
06901,"$200,000 or more",530,285181,289594
,,,,
06902,,"34,480","3,186,883","3,250,317"
06902,"$1 under $25,000",11800,146414,151391
06902,"$25,000 under $50,000",8380,303249,308334
06902,"$50,000 under $75,000",4530,278371,282564
06902,"$75,000 under $100,000",2800,241494,244504
06902,"$100,000 under $200,000",4100,566774,576959
06902,"$200,000 or more",2870,1650581,1686565
,,,,
06903,,"7,060","1,701,394","1,738,301"
06903,"$1 under $25,000",1510,14135,14766
06903,"$25,000 under $50,000",700,25735,26708
06903,"$50,000 under $75,000",590,36482,37623
06903,"$75,000 under $100,000",470,40838,42120
06903,"$100,000 under $200,000",1440,212948,220234
06903,"$200,000 or more",2350,1371256,1396850
,,,,
06905,,"11,180","1,253,903","1,276,418"
06905,"$1 under $25,000",2660,30006,31027
06905,"$25,000 under $50,000",1920,71093,72973
06905,"$50,000 under $75,000",1560,97047,99309
06905,"$75,000 under $100,000",1280,111139,112949
06905,"$100,000 under $200,000",2320,328645,334048
06905,"$200,000 or more",1440,615973,626112
,,,,
