zipcode,income_bucket,n_returns,agi,total_income,city
6093,6,190,92758,94735,West Suffield
6095,1,4370,52609,53531,Windsor
6095,2,3690,136781,138690,Windsor
6095,3,2700,166815,168917,Windsor
6095,4,1830,158118,159538,Windsor
6095,5,2750,374045,377721,Windsor
6095,6,630,194668,197924,Windsor
6096,1,1950,23864,24214,Windsor Locks
6096,2,1690,62765,63558,Windsor Locks
6096,3,1280,78976,79727,Windsor Locks
6096,4,810,69810,70358,Windsor Locks
6096,5,1040,138251,139413,Windsor Locks
6096,6,140,38246,38823,Windsor Locks
6098,1,1650,20795,21178,Winsted
6098,2,1300,47451,48033,Winsted
6098,3,860,52563,53213,Winsted
6098,4,540,47057,47538,Winsted
6098,5,580,75905,76981,Winsted
6098,6,100,38814,39502,Winsted
6103,1,250,3252,3348,Hartford
6103,2,250,9260,9446,Hartford
6103,3,320,20222,20509,Hartford
6103,4,200,17458,17571,Hartford
6103,5,250,33990,34498,Hartford
6103,6,110,95518,97253,Hartford
6105,1,3610,47112,47725,Hartford
6105,2,2580,91674,92530,Hartford
6105,3,1010,61110,61928,Hartford
6105,4,410,34600,34917,Hartford
6105,5,420,56756,58116,Hartford
6105,6,310,139312,142463,Hartford
6106,1,7790,101674,102710,Hartford
6106,2,4930,172737,173842,Hartford
6106,3,1670,101225,102004,Hartford
6106,4,650,55111,55422,Hartford
6106,5,420,54097,54680,Hartford
6106,6,60,18313,18313,Hartford
6107,1,1880,18212,18779,West Hartford
6107,2,1060,39965,41082,West Hartford
6107,3,1130,70618,71912,West Hartford
6107,4,1010,88051,89633,West Hartford
6107,5,2590,372249,379886,West Hartford
6107,6,1990,916681,936324,West Hartford
6108,1,4820,64002,64730,East Hartford
6108,2,3860,138198,139326,East Hartford
6108,3,1680,102299,102963,East Hartford
6108,4,760,65292,65785,East Hartford
6108,5,690,88157,88657,East Hartford
6108,6,80,24491,25092,East Hartford
6109,1,3600,42032,42808,Wethersfield
6109,2,2610,97012,98351,Wethersfield
6109,3,2310,143142,145284,Wethersfield
6109,4,1660,143934,145666,Wethersfield
6109,5,3070,423168,428131,Wethersfield
6109,6,900,327440,334697,Wethersfield
6110,1,2100,26360,26849,West Hartford
6110,2,1590,58012,58860,West Hartford
6110,3,1160,71411,72274,West Hartford
6110,4,710,60770,61358,West Hartford
6110,5,910,120936,122100,West Hartford
6110,6,180,62513,64082,West Hartford
6111,1,4240,51387,52447,Newington
6111,2,3360,125300,127373,Newington
6111,3,2840,175593,177726,Newington
6111,4,2120,184807,186619,Newington
6111,5,3220,432960,437373,Newington
6111,6,550,165488,169040,Newington
6112,1,5080,64914,65495,Hartford
6112,2,3050,107370,107905,Hartford
6112,3,1030,62066,62417,Hartford
6112,4,350,29963,30141,Hartford
6112,5,210,28343,28477,Hartford
6112,6,0,0,0,Hartford
6114,1,5950,78327,79018,Hartford
6114,2,3690,130275,130870,Hartford
6114,3,1270,76540,76927,Hartford
6114,4,460,39496,39725,Hartford
6114,5,290,36605,36888,Hartford
6114,6,20,5583,5583,Hartford
6117,1,1650,15856,16328,West Hartford
6117,2,790,28992,29837,West Hartford
6117,3,710,44176,45057,West Hartford
6117,4,680,58773,59910,West Hartford
6117,5,1710,245184,249689,West Hartford
6117,6,1690,931382,952621,West Hartford
6118,1,4720,60965,61699,East Hartford
6118,2,3930,143637,144984,East Hartford
6118,3,2370,145224,146369,East Hartford
6118,4,1350,116558,117310,East Hartford
6118,5,1480,192511,193916,East Hartford
6118,6,150,41487,42087,East Hartford
6119,1,1910,22663,23186,West Hartford
6119,2,1450,54271,55336,West Hartford
6119,3,1230,75683,76814,West Hartford
6119,4,800,68911,69763,West Hartford
6119,5,1250,173780,176344,West Hartford
6119,6,680,269225,275787,West Hartford
6120,1,3000,37407,37792,Hartford
6120,2,1340,46751,46996,Hartford
6120,3,320,19265,19354,Hartford
6120,4,90,7800,7842,Hartford
6120,5,60,7371,7371,Hartford
6120,6,0,0,0,Hartford
6226,1,3310,43961,44328,Willimantic
6226,2,2260,79439,79861,Willimantic
6226,3,770,46807,47323,Willimantic
6226,4,370,32108,32389,Willimantic
6226,5,340,43528,44238,Willimantic
6226,6,30,8166,8166,Willimantic
6231,1,450,4936,5048,Amston
6231,2,280,10318,10511,Amston
6231,3,240,15258,15522,Amston
6231,4,200,17747,18031,Amston
6231,5,540,75181,75948,Amston
6231,6,180,61574,62945,Amston
6232,1,420,4716,4796,Andover
6232,2,280,10224,10375,Andover
6232,3,240,15221,15540,Andover
6232,4,200,17656,17864,Andover
