zipcode,income_bucket,n_returns,agi,total_income,city
6851,4,1580,137755,140287,Norwalk
6851,5,2850,398660,405370,Norwalk
6851,6,1350,500755,514161,Norwalk
6853,1,340,3159,3335,Norwalk
6853,2,140,5098,5326,Norwalk
6853,3,130,8155,8548,Norwalk
6853,4,120,10649,11049,Norwalk
6853,5,280,40191,41500,Norwalk
6853,6,710,711710,724868,Norwalk
6854,1,5460,66472,68193,Norwalk
6854,2,3630,131964,134235,Norwalk
6854,3,1950,119806,121832,Norwalk
6854,4,1110,95880,97032,Norwalk
6854,5,1570,214992,217833,Norwalk
6854,6,690,338446,344966,Norwalk
6855,1,1360,16197,16771,Norwalk
6855,2,880,32558,33432,Norwalk
6855,3,610,37176,37929,Norwalk
6855,4,380,32820,33516,Norwalk
6855,5,630,88108,89582,Norwalk
6855,6,410,245925,251678,Norwalk
6870,1,660,5834,6052,Old Greenwich
6870,2,270,10201,10610,Old Greenwich
6870,3,240,15030,15434,Old Greenwich
6870,4,200,17223,17981,Old Greenwich
6870,5,530,78498,81415,Old Greenwich
6870,6,1370,1611486,1628313,Old Greenwich
6877,1,2640,23672,24527,Ridgefield
6877,2,1120,40750,42244,Ridgefield
6877,3,1020,63619,65898,Ridgefield
6877,4,850,74217,76035,Ridgefield
6877,5,2400,348693,357646,Ridgefield
6877,6,3490,2311622,2349190,Ridgefield
6878,1,820,7528,7891,Riverside
6878,2,380,13817,14230,Riverside
6878,3,290,17776,18322,Riverside
6878,4,170,14839,15373,Riverside
6878,5,500,72904,74863,Riverside
6878,6,1480,2354260,2382670,Riverside
6880,1,3020,26581,27881,Westport
6880,2,1120,41125,43026,Westport
6880,3,940,58612,61240,Westport
6880,4,770,67511,70236,Westport
6880,5,1900,278945,289050,Westport
6880,6,4940,4853279,4946508,Westport
6883,1,1020,8712,9156,Weston
6883,2,390,14387,15325,Weston
6883,3,290,18014,18786,Weston
6883,4,240,21193,22457,Weston
6883,5,810,118904,123790,Weston
6883,6,1740,1285590,1310851,Weston
6890,1,490,4502,4739,Southport
6890,2,230,8528,8887,Southport
6890,3,150,9399,9608,Southport
6890,4,150,12648,13232,Southport
6890,5,370,53930,55666,Southport
6890,6,790,714328,725279,Southport
6896,1,950,8857,9314,Redding
6896,2,430,15750,16368,Redding
6896,3,400,25186,26338,Redding
6896,4,380,32931,34154,Redding
6896,5,960,138781,142393,Redding
6896,6,1090,566255,578487,Redding
6897,1,1970,16792,17459,Wilton
6897,2,730,26457,27690,Wilton
6897,3,590,36496,37836,Wilton
6897,4,510,44217,45551,Wilton
6897,5,1510,220079,228440,Wilton
6897,6,3090,2107753,2142469,Wilton
6901,1,1090,13903,14508,Stamford
6901,2,880,33040,33952,Stamford
6901,3,840,52148,52805,Stamford
6901,4,620,53313,53674,Stamford
6901,5,900,126712,128174,Stamford
6901,6,530,285181,289594,Stamford
6902,1,11800,146414,151391,Stamford
6902,2,8380,303249,308334,Stamford
6902,3,4530,278371,282564,Stamford
6902,4,2800,241494,244504,Stamford
6902,5,4100,566774,576959,Stamford
6902,6,2870,1650581,1686565,Stamford
6903,1,1510,14135,14766,Stamford
6903,2,700,25735,26708,Stamford
6903,3,590,36482,37623,Stamford
6903,4,470,40838,42120,Stamford
6903,5,1440,212948,220234,Stamford
6903,6,2350,1371256,1396850,Stamford
6905,1,2660,30006,31027,Stamford
6905,2,1920,71093,72973,Stamford
6905,3,1560,97047,99309,Stamford
6905,4,1280,111139,112949,Stamford
6905,5,2320,328645,334048,Stamford
6905,6,1440,615973,626112,Stamford
6906,1,1570,18174,18821,Stamford
6906,2,1140,41821,42687,Stamford
6906,3,720,44276,44966,Stamford
6906,4,530,46115,46567,Stamford
6906,5,760,105988,107328,Stamford
6906,6,360,126011,127644,Stamford
6907,1,1320,15413,15921,Stamford
6907,2,970,35601,36500,Stamford
6907,3,670,41887,42672,Stamford
6907,4,520,44805,45484,Stamford
6907,5,1020,144007,146404,Stamford
6907,6,490,179433,182379,Stamford
